0   2000
0.308454   2.74342   1.18088
3.85642   2.32006   2.2374
9.83012   0.467598   4.13201
0.275122   0.448162   0.781864
0.656353   2.92491   6.18091
4.30275   2.89952   6.16179
3.14129   0.620281   2.44086
0.357294   0.782351   0.771927
1.3731   2.52682   2.24715
0.318499   0.336148   5.00498
3.39312   2.69681   2.15633
0.74581   0.431659   0.835116
1.08723   0.86354   6.07754
2.58692   2.95259   0.919748
9.61118   2.60211   2.71775
0.460068   2.4098   4.45663
5.33101   1.06865   5.9588
5.55488   2.5093   1.18546
2.58326   2.89248   1.09921
0.641966   0.445511   5.77964
1.9624   2.13775   4.46928
3.94595   1.6275   2.72441
3.61545   1.37447   3.0281
0.421651   2.35023   4.42553
1.11423   2.85727   4.37989
1.73934   0.299539   3.44566
1.20194   2.92659   2.85313
0.857506   0.51371   0.980442
1.25769   2.25577   3.41764
1.05964   2.06924   0.379672
0.367906   2.72919   0.468181
1.1895   1.39395   3.46907
1.444   0.29799   3.16698
1.21277   1.04631   1.42511
0.756982   1.38578   4.61444
2.50521   2.93497   2.80031
0.531023   0.23483   2.86606
0.988011   2.55567   3.21118
1.6777   0.337369   4.74391
1.176   2.45268   5.76533
1.24233   2.18724   0.0394026
4.48568   2.9558   3.76401
9.32363   2.71855   3.15354
2.71431   2.00485   3.80326
5.37581   1.63831   2.75791
4.1698   0.695811   1.95802
0.259372   2.92094   3.95939
0.644932   0.438479   1.71823
5.03231   2.75235   6.2019
5.6562   2.66277   3.11671
0.250544   2.53842   3.71554
7.04074   0.459096   5.79265
2.64985   2.83845   0.106086
0.35615   0.226397   0.98574
6.07585   1.4124   2.10741
1.10852   0.89684   3.88127
1.30829   0.593206   4.39088
0.928904   0.270295   6.06242
8.80603   0.877132   5.77461
2.11295   0.229188   5.30468
6.2521   0.438299   4.83042
0.873878   2.01914   1.57541
9.44217   0.492442   0.818067
4.99722   0.363668   6.11073
7.49287   2.93578   2.69436
3.24655   0.252908   3.2166
0.223334   0.230045   2.70009
4.99223   2.54239   2.08131
0.26298   2.95964   4.7125
1.65088   2.04729   6.26926
1.37163   0.270474   3.97214
6.43466   0.445985   3.15519
9.90888   2.05966   5.9352
0.559528   2.57186   5.68156
5.51993   2.86818   4.92559
6.40896   2.56724   1.56956
1.36908   1.56923   3.20645
0.977028   0.339674   5.65288
1.23509   2.06115   0.836188
0.607534   1.89955   1.09
0.876887   2.92677   0.357718
8.78765   1.74021   3.98714
5.49119   0.373249   0.377671
0.283144   0.19589   6.03394
0.648358   0.236293   4.75784
0.273863   0.235022   0.183976
1.96377   1.63232   2.03773
1.06213   2.78908   2.80641
1.1033   2.81304   1.89555
1.95056   2.70424   3.10384
2.04578   0.334179   5.50104
1.31657   2.19944   0.0504063
1.42218   2.85261   4.84906
2.41369   2.53214   3.37617
0.800744   1.94829   4.61114
7.87493   0.229539   4.47137
0.638442   2.49331   3.88283
8.7747   2.65298   6.25879
3.13465   0.55033   3.91587
0.795026   1.11246   3.16289
8.08564   1.7199   0.75385
0.232178   1.09044   4.00615
0.418912   1.49519   2.84892
1.67921   1.8637   2.15752
1.60801   2.70368   4.38952
1.28615   0.41755   4.7874
2.84219   0.903217   0.708788
5.27009   0.686377   4.24535
8.99912   2.558   5.45873
6.16766   1.36703   2.52746
0.479286   1.70371   4.92502
0.481043   2.81013   0.8703
0.883382   1.02096   2.31174
3.94406   0.224728   1.96046
5.98545   0.707912   2.52793
1.91271   2.38887   4.7026
6.61741   2.9322   4.25828
1.72891   0.2303   3.9286
0.448773   1.60509   3.73887
0.662807   2.88026   5.45968
0.760065   0.464041   0.931306
